證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M2000  ,鋼鐵工業類指數,20000302,        0,   -74.08,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000302,        -,     0.38,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000302,        -,     3.53,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000303,        -,   -97.26,        -,        -,        -,        -
M2500  ,建材營造類指數,20000303,       -4,   -22.04,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000303,        0,    36.44,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000303,        -,     1.99,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000303,        -,   -49.11,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000304,        -,     6.05,        -,        -,        -,        -
M2500  ,建材營造類指數,20000304,       -2,     2.44,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000304,        0,   -79.76,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000304,        -,     1.61,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000304,        -,    -3.37,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000306,        -,   -80.26,        -,        -,        -,        -
M2500  ,建材營造類指數,20000306,        0,   -86.66,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000306,        0,  -142.74,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000306,        -,     0.64,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000306,        -,     3.42,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000307,        -,  -198.01,        -,        -,        -,        -
M2500  ,建材營造類指數,20000307,        0,     0.34,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000307,        0,  -280.37,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000307,        -,     2.19,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000307,        -,  -130.29,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000308,        -,  -148.14,        -,        -,        -,        -
M2500  ,建材營造類指數,20000308,        0,   -31.47,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000308,        -,  -413.87,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000308,        -,     3.35,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000308,        -,     8.01,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000309,        -,   -81.62,        -,        -,        -,        -
M2500  ,建材營造類指數,20000309,        3,    -2.82,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000309,        -,  -153.76,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000309,        -,     0.00,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000309,        -,     1.42,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000310,        -,  -109.14,        -,        -,        -,        -
M2500  ,建材營造類指數,20000310,       -3,   -45.42,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000310,        -,  -225.90,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000310,        -,    -4.92,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000310,        -,   -22.49,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000313,        -,     1.12,        -,        -,        -,        -
M2500  ,建材營造類指數,20000313,        0,   -11.84,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000313,        -,  -244.90,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000313,        -,    -0.10,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000313,        -,     8.48,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000314,        -,   -82.76,        -,        -,        -,        -
M2500  ,建材營造類指數,20000314,        0,   -84.41,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000314,        -,  -282.38,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000314,        -,    -7.18,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000314,        -,   -28.53,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000315,        -,   -77.38,        -,        -,        -,        -
M2500  ,建材營造類指數,20000315,       10,   -38.94,        0,     0.00,        0,     0.00
