Date,BTC,trend,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX
2021/3/14,"59,176.10",1,1.05555,1.1224,18.456,0.7665,552.19,264.27,0.16479,"1,853.88",1.7418,1.3107,28.66,214.24,39.654,5.837,0.05107,0.065929,0.38876,0.43903,143.22,1.3247
2021/3/15,"55,603.20",1,1.03065,1.1894,19.907,0.76,523.26,254.22,0.16092,"1,792.01",1.947,1.2806,27.45,200.59,38.633,5.95,0.05071,0.078731,0.38417,0.43567,135,1.3254
2021/3/16,"56,874.40",1,1.24924,1.2021,20.994,1.0289,528.88,258.29,0.15486,"1,804.06",1.922,1.3301,27.91,201.65,40.79,6.375,0.05236,0.074421,0.39544,0.46029,139.36,1.4299
2021/3/17,"58,914.20",1,1.37709,1.2918,20.901,1.2333,541.64,269.85,0.19609,"1,823.37",1.8795,1.3546,31.04,205.93,46.402,6.206,0.05484,0.076682,0.40288,0.47005,146.03,1.4466
2021/3/18,"57,645.40",1,1.23129,1.257,22.099,1.2029,528.13,261.3,0.17907,"1,775.91",1.8681,1.3235,29.43,199.74,43.645,6.367,0.05331,0.077514,0.39499,0.46878,142.85,1.5171
2021/3/19,"58,097.80",1,1.2954,1.2495,22.213,1.1842,532.94,263.15,0.18407,"1,809.76",1.9687,1.3335,29.8,200.06,44.028,7.018,0.05869,0.080897,0.39545,0.46651,150.32,1.5603
2021/3/20,"58,090.00",1,1.20015,1.2073,20.77,1.0819,535.29,264.41,0.17077,"1,805.00",1.9234,1.4033,29.62,199.82,43.08,6.607,0.06068,0.089365,0.41524,0.52438,154.57,1.4945
2021/3/21,"57,385.00",1,1.18585,1.1786,20.5,1.1244,523.46,264.75,0.17453,"1,783.85",1.9357,1.4106,29.21,195.35,42.471,6.582,0.06323,0.093639,0.40351,0.51664,148.23,1.458
2021/3/22,"54,185.20",1,1.1036,1.1032,19.21,1.0855,509.1,255.04,0.16161,"1,683.69",1.8379,1.4653,27.27,185.72,40.747,6.545,0.05931,0.088319,0.39261,0.54416,139.57,1.418
2021/3/23,"54,310.00",1,1.11676,1.11,18.735,1.0519,511.31,255.43,0.16678,"1,668.18",1.8737,1.6533,26.81,186.19,41.123,7.021,0.0587,0.083175,0.39586,0.55071,136.17,1.4995
2021/3/24,"52,338.50",1,1.07058,1.0291,17.527,0.9911,474.89,248.59,0.157,"1,582.05",1.8869,1.4113,24.91,176.07,39.576,7.241,0.05577,0.084999,0.36255,0.48264,127.8,1.3728
2021/3/25,"51,310.30",1,1.09644,1.0429,17.105,0.9735,473.24,233.94,0.15407,"1,586.16",1.804,1.3361,25.52,171.61,38.67,8.207,0.05529,0.080827,0.36127,0.51088,123.04,1.3124
2021/3/26,"55,022.10",1,1.21444,1.1167,18.964,1.0741,505.69,254.99,0.16738,"1,698.70",2.0325,1.447,27.4,183.45,41.66,8.633,0.0647,0.089864,0.3846,0.56357,133.5,1.3886
2021/3/27,"55,855.80",1,1.17681,1.1589,18.704,1.0816,500.25,269.32,0.16654,"1,712.66",2.1796,1.3977,26.84,184.05,41.112,8.566,0.06363,0.088533,0.38195,0.54791,133.62,1.4164
2021/3/28,"55,756.70",1,1.18959,1.2354,19.331,1.1208,497.06,268.9,0.17152,"1,686.86",2.3369,1.3915,26.66,184.29,44.789,8.204,0.0636,0.090733,0.39751,0.54554,144.96,1.4542
2021/3/29,"57,610.10",1,1.20262,1.3996,20.273,1.1395,518.38,275.13,0.17763,"1,816.35",2.5636,1.5109,28.02,193.8,45.517,8.755,0.06474,0.091995,0.40446,0.56528,149.18,1.5946
2021/3/30,"58,757.30",1,1.21266,1.325,19.976,1.1694,525.27,311.41,0.18335,"1,840.15",2.6719,1.5273,27.84,195.72,44.97,8.759,0.06597,0.08936,0.40108,0.56225,154.77,1.847
2021/3/31,"58,744.80",1,1.1913,1.3682,19.08,1.1409,540.93,302.18,0.17646,"1,917.84",3.0452,1.5375,29.35,196.72,50.738,9.38,0.09272,0.087683,0.4055,0.56952,158.18,1.8822
2021/4/1,"58,714.90",1,1.18289,1.3221,19.481,1.1536,555.89,334.33,0.1773,"1,968.07",2.8082,1.5764,30.06,202.33,52.425,10.018,0.08538,0.087962,0.42402,0.57039,165.45,1.9627
2021/4/2,"58,973.20",1,1.19042,1.3574,20.298,1.1986,580.94,338.27,0.20209,"2,133.69",2.741,1.6245,32.46,211.84,52.956,10.188,0.09225,0.094046,0.43878,0.60669,169.43,1.9624
2021/4/3,"57,053.60",1,1.16335,1.2634,20.053,1.1151,531.14,321.91,0.18141,"2,008.87",2.4666,1.479,29.31,195.26,50.658,9.74,0.10152,0.08742,0.40837,0.57896,171.17,1.7262
2021/4/4,"58,192.80",1,1.18182,1.3094,21.525,1.1751,560.74,349.37,0.22173,"2,076.25",2.6099,1.5522,30.74,202.25,54.536,10.773,0.12762,0.092473,0.42854,0.635,187.14,1.835
2021/4/5,"58,993.40",1,1.21164,1.4026,21.45,1.2772,646.16,367.38,0.21171,"2,104.50",2.5356,1.7192,32.32,221.08,58.898,11.836,0.13692,0.102343,0.536,0.9125,197.28,1.8028
2021/4/6,"57,991.30",1,1.25156,1.3975,21.651,1.327,661.62,402.68,0.20512,"2,111.83",2.4811,1.8021,34.71,236.87,62.901,15.237,0.1242,0.111891,0.53946,1.09,191.08,1.9231
2021/4/7,"55,947.20",1,1.1751,1.3017,19.53,1.1862,616,375.48,0.19089,"1,961.39",2.3121,1.6558,31.12,219.15,59.825,15.592,0.11007,0.105871,0.47318,0.91716,171.09,1.7113
2021/4/8,"58,073.50",1,1.21887,1.3509,20.528,1.2909,643.19,417.71,0.20632,"2,080.18",2.4825,1.8949,32.78,226.44,63.259,16.896,0.12359,0.116748,0.50459,1.05729,184.71,1.8544
2021/4/9,"58,127.60",1,1.20188,1.3935,21.4,1.5398,630.63,453.5,0.21909,"2,067.31",2.6336,1.8664,31.59,220.83,60.759,15.746,0.11587,0.126027,0.48544,1.01925,194.19,2.1603
2021/4/10,"59,722.60",1,1.2181,1.3912,21.028,1.4642,671.82,472.26,0.20814,"2,134.00",2.5564,2.0869,31.92,256.43,61.68,15.847,0.1264,0.14226,0.56235,1.37461,206.28,2.1793
2021/4/11,"59,976.50",1,1.26331,1.5235,23.372,1.4369,690.95,525.59,0.20464,"2,151.03",2.5747,2.096,33.91,252.31,63.877,14.97,0.12207,0.139412,0.58687,1.35673,222.51,2.1291
